time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
0.0,101325.0,-1.5344934783534145,0.7326892199872196,257.04999999999995,0.0,0.0,0.0,0.73,0.9,2740.0,2.6,4.71238898038469,0.9,249.15566725326443,218.0,0.0,2.8113433586409813,-1.2405470318460847,-0.40288613372050763,282.7876010606927,-3.121027758913437,260.95,260.17477231288535
900.0,101325.0,-1.5344934783534145,0.7326892199872196,256.99531249999995,0.0,0.0,0.0,0.73,0.890625,2843.155570652174,2.6,4.747840980815824,0.890625,248.9488795475429,217.1140625,900.0,2.8040605408225168,-1.2332642140276202,-0.40287285802311723,1182.5069926394576,-3.0555983183838973,260.8953125,260.1228121410403
1800.0,101325.0,-1.5344934783534145,0.7326892199872196,256.96666666666664,0.0,0.0,0.0,0.73,0.8875000000000001,2882.5815217391305,2.6,4.763294416901191,0.8875000000000001,248.8682421807363,216.7625,1800.0,2.788397361369456,-1.2176010345745594,-0.40285956871626616,2082.226412535222,-2.9901688757950873,260.8666666666666,260.0955923620299
2700.0,101325.0,-1.5344934783534145,0.7326892199872196,256.97968749999995,0.0,0.0,0.0,0.73,0.890625,2850.716711956522,2.6,4.753295134728307,0.890625,248.9300656100359,217.0296875,2700.0,2.765417438628894,-1.1946211118339973,-0.40284626580061,2981.9458607762367,-2.924739431144952,260.8796875,260.1079652058552
3600.0,101325.0,-1.5344934783534145,0.7326892199872196,257.04999999999995,0.0,0.0,0.0,0.73,0.9,2740.0,2.6,4.71238898038469,0.9,249.15566725326443,218.0,3600.0,2.736390224574576,-1.1655938977796794,-0.40283294927680513,3881.6653373907498,-2.859309984431438,260.95,260.17477231288535
4500.0,101325.0,-1.5344934783534145,0.7326892199872196,257.16115056818177,0.0,0.0,0.0,0.73,0.9226562500000001,2509.2669634166127,2.6,4.633303748653697,0.9226562500000001,249.64582473540966,219.9546875,4500.0,2.7025470331122365,-1.13175070631734,-0.4028196191455084,4781.384842407006,-2.793880535652491,261.0611505681818,260.2803600151789
5400.0,101325.0,-1.5344934783534145,0.7326892199872196,257.2839015151515,0.0,0.0,0.0,0.73,0.95625,2189.041612589228,2.6,4.530583849968614,0.95625,250.3641390950044,222.6125,5400.0,2.6649520679369005,-1.094155741142004,-0.40280627540737723,5681.104375853243,-2.7284510848060575,261.1839015151515,260.39693689993595
6300.0,101325.0,-1.5344934783534145,0.7326892199872196,257.41470170454545,0.0,0.0,0.0,0.73,0.9867187500000001,1879.2954554672292,2.6,4.4315000538918525,0.9867187500000001,251.08470463287995,225.2140625,6300.0,2.6244675108196867,-1.05367118402479,-0.4027929180630699,6580.8239377577,-2.6630216318900835,261.3147017045454,260.52112280657803
7200.0,101325.0,-1.5344934783534145,0.7326892199872196,257.54999999999995,0.0,0.0,0.0,0.73,1.0,1680.0,2.6,4.363323129985824,1.0,251.50782700371963,227.0,7200.0,2.5817689824746557,-1.0109726556797591,-0.4027795471132453,7480.54352814861,-2.5975921769025163,261.45,260.649540977829
8100.0,101325.0,-1.5344934783534145,0.7326892199872196,257.6963474025974,0.0,0.0,0.0,0.73,1.0,1573.955223880597,2.521875,4.319689898685966,1.0,251.68603990679597,228.06640625,8100.0,2.5373788268811506,-0.966582500086254,-0.40276616255856285,8380.2631470542,-2.5321627198413035,261.59701704545455,260.78903774807134
9000.0,101325.0,-1.5344934783534145,0.7326892199872196,257.8538961038961,0.0,0.0,0.0,0.73,1.0,1484.6268656716418,2.35,4.276056667386108,1.0,251.87827817066025,228.96875,9000.0,2.4917005454114287,-0.9209042186165322,-0.4027527643996826,9279.982794502697,-2.4667332607043915,261.7556818181818,260.93953476649244
9900.0,101325.0,-1.5344934783534145,0.7326892199872196,258.0094967532467,0.0,0.0,0.0,0.73,1.0,1422.9850746268658,2.178125,4.232423436086249,1.0,252.06729848930814,229.63671875,9900.0,2.4450481169840574,-0.8742517901891609,-0.40273935263726546,10179.702470522325,-2.4013037994897286,261.91150568181814,261.0872849400696
10800.0,101325.0,-1.5344934783534145,0.7326892199872196,258.15,0.0,0.0,0.0,0.73,1.0,1400.0,2.1,4.1887902047863905,1.0,252.23585520231327,230.0,10800.0,2.397668978363511,-0.8268726515686144,-0.4027259272719727,11079.422175141299,-2.335874336195262,262.04999999999995,261.2185600852781
