Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
highly_dynamic+Day346,heat_day19,0.511927101,1.802062261,9.95841312,0,,0.000255172,0.117874387,17.69568404,4.34E-05
highly_dynamic+Day347,heat_day20,0.508134256,1.788592204,9.884025795,0,,0.000255172,0.117874385,18.09885637,4.35E-05
highly_dynamic+Day348,heat_day21,0.501393708,1.764465525,9.750788113,0,,0.000255172,0.117874385,18.13606304,4.21E-05
highly_dynamic+Day349,heat_day22,0.491479598,1.728358365,9.551389176,0,,0.000255172,0.117874386,18.13604727,4.30E-05
highly_dynamic+Day350,heat_day23,0.486432541,1.710143912,9.450801296,0,,0.000255172,0.117873413,17.02491117,4.40E-05
highly_dynamic+Day351,heat_day24,0.480608484,1.689378885,9.336128076,0,,0.000255172,0.117479107,15.76228494,4.30E-05
highly_dynamic+Day352,heat_day25,0.475848797,1.672518907,9.24302018,0,,0.000255172,0.11747257,15.50950357,4.26E-05
highly_dynamic+Day353,heat_day26,0.474673384,1.668504729,9.220852197,0,,0.000255172,0.117472581,15.62083883,4.37E-05
highly_dynamic+Day354,heat_day27,0.476566005,1.675427323,9.259081674,0,,0.000255172,0.117472586,15.7634937,4.29E-05
highly_dynamic+Day355,heat_day28,0.483215576,1.69957011,9.392408308,0,,0.000255172,0.117472576,15.76341997,4.19E-05
highly_dynamic+Day356,heat_day29,0.495740185,1.744967807,9.643113507,0,,0.000255172,0.117472577,15.76350708,4.18E-05
highly_dynamic+Day357,heat_day30,0.503017854,1.771545095,9.789884484,0,,0.000255172,0.117503301,16.64409597,4.34E-05
highly_dynamic+Day358,heat_day31,0.514433777,1.812981961,10.0187163,0,,0.000255172,0.117503301,18.21511871,4.31E-05
highly_dynamic+Day15,heat_day32,0.527712871,1.854149905,10.24588032,0,,0.000255172,0.118005306,27.4154672,4.28E-05
highly_dynamic+Day16,heat_day33,0.50042075,1.75442549,9.695160109,0,,0.000255172,0.117862521,23.85276704,4.36E-05
highly_dynamic+Day17,heat_day34,0.486384588,1.702993801,9.41113267,0,,0.000255172,0.117852185,22.65510008,4.22E-05
highly_dynamic+Day18,heat_day35,0.488678954,1.711165136,9.456258222,0,,0.000255172,0.117852185,22.70542374,4.46E-05
highly_dynamic+Day19,heat_day36,0.49108319,1.719978377,9.504928649,0,,0.000255172,0.117852183,22.7232181,4.30E-05
highly_dynamic+Day20,heat_day37,0.509496684,1.786998277,9.875040757,0,,0.000255172,0.117852181,22.72305539,4.15E-05
highly_dynamic+Day21,heat_day38,0.508454847,1.783224175,9.854198577,0,,0.000255172,0.117852183,21.19676646,4.33E-05
highly_dynamic+Day22,heat_day39,0.508873072,1.784585533,9.861716569,0,,0.000255172,0.117888382,22.21371764,4.35E-05
highly_dynamic+Day23,heat_day40,0.518531484,1.819535181,10.05472324,0,,0.000255172,0.117945068,24.20391107,4.33E-05
highly_dynamic+Day24,heat_day41,0.521281722,1.829418479,10.10930297,0,,0.000255172,0.117945068,23.88188335,4.26E-05
