Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day18,heat_day35,0.050161231,0.952839656,3.153609837,1220.789769,,0.023047386,0.116519718,6.184498036,4.56E-05
constant+Day19,heat_day36,0.044742429,0.895048563,3.105423872,1220.95769,,0.023047273,0.116519903,5.831758976,4.38E-05
constant+Day20,heat_day37,0.038513472,0.837352284,3.10663132,1220.536892,,0.023047123,0.116520415,5.563382545,4.38E-05
constant+Day22,heat_day39,0.045260906,0.891152459,3.048962347,1220.387086,,0.023046804,0.116521184,5.732750647,4.25E-05
constant+Day23,heat_day40,0.045666703,0.876532081,2.929798732,1220.475515,,0.023046625,0.116521768,5.739852049,4.31E-05
constant+Day24,heat_day41,0.043291956,0.860111914,2.966388922,1220.3027,,0.023046377,0.11652234,5.688982668,4.45E-05
constant+Day25,heat_day42,0.041561394,0.852956243,3.024221072,1220.121732,,0.023046282,0.116522449,5.736899664,4.38E-05
constant+Day26,heat_day43,0.045977133,0.883735406,2.957780859,1220.09141,,0.023046019,0.116523604,5.728448538,4.37E-05
constant+Day27,heat_day44,0.047846735,0.774162997,2.135253594,1220.296115,,0.023045683,0.116524574,5.30426159,4.45E-05
constant+Day28,heat_day45,0.047192886,0.73884502,1.945783601,1220.387341,,0.023045835,0.076295045,5.722555601,4.47E-05
constant+Day29,heat_day46,0.048149151,0.894227571,2.894987228,1220.335391,,0.023045682,0.112857628,6.209416414,4.47E-05
constant+Day30,heat_day47,0.046659152,0.959422284,3.407119541,1220.194457,,0.023045601,0.112857835,6.063181533,4.31E-05
constant+Day31,heat_day48,0.043842422,0.93416872,3.413086569,1220.011041,,0.023045816,0.112858512,5.949663231,4.28E-05
constant+Day32,heat_day49,0.037418468,0.914486771,3.672343298,1219.956864,,0.017316683,0.112859009,6.164183105,4.40E-05
constant+Day33,heat_day50,0.038863189,0.98689262,4.054501123,1219.571085,,0.017316778,0.112858486,6.297894062,4.69E-05
constant+Day34,heat_day51,0.039447603,0.980936883,3.980724448,1219.743493,,0.017317031,0.112858059,6.337376208,4.49E-05
constant+Day35,heat_day52,0.039523875,0.979702845,3.96813633,1219.913098,,0.017316875,0.11285835,6.291815791,4.49E-05
constant+Day36,heat_day53,0.038557223,0.967981672,3.950392296,1219.9253,,0.01731669,0.112858504,6.314434538,4.31E-05
constant+Day37,heat_day54,0.041620671,0.999046544,3.967224093,1220.049529,,0.018006128,0.112859243,6.381675996,4.55E-05
constant+Day38,heat_day55,0.040866183,0.976497422,3.866547525,1219.69375,,0.018005704,0.1128599,6.388376713,4.37E-05
constant+Day39,heat_day56,0.03864825,1.009236738,4.212218124,1219.689705,,0.018005524,0.112860804,6.580744851,4.40E-05
constant+Day40,heat_day57,0.034947497,1.020172267,4.505893967,1219.542559,,0.018005605,0.112860024,6.330548179,4.55E-05
constant+Day41,heat_day58,0.031332889,1.028210741,4.775611998,1219.387114,,0.018005506,0.112860429,6.457724871,4.48E-05
constant+Day42,heat_day59,0.03228831,1.024308159,4.692800316,1219.261436,,0.018005273,0.112861667,6.124691879,4.38E-05
constant+Day43,heat_day60,0.03081802,0.854521735,3.68121793,1219.275141,,0.018005098,0.10776687,5.620817107,4.63E-05
constant+Day44,heat_day61,0.032324278,0.787775391,3.158053071,1219.542445,,0.018005136,0.106279022,5.724051897,4.32E-05
constant+Day45,heat_day62,0.029116036,0.741330498,3.050286501,1219.801629,,0.018004948,0.106278753,5.525746871,4.42E-05
constant+Day297,heat_day63,0.099114504,1.255904144,2.169821145,1222.04355,,0.027079607,0.073159865,6.891997586,4.39E-05
constant+Day298,heat_day64,0.090117743,1.155069356,2.058166703,1221.983967,,0.027079126,0.073160538,6.726470306,4.50E-05
constant+Day299,heat_day65,0.081998971,1.07636406,2.037033942,1221.769428,,0.027079123,0.073160967,6.431264255,4.34E-05
constant+Day300,heat_day66,0.074343603,0.9952989,1.972709468,1221.457003,,0.027078713,0.073161436,6.202802854,4.19E-05
constant+Day301,heat_day67,0.068245681,0.929852394,1.915810826,1221.203723,,0.02607511,0.073161851,6.058761243,4.22E-05
constant+Day302,heat_day68,0.062401436,0.86263808,1.8321841,1221.154333,,0.025366649,0.073162516,6.034313143,4.38E-05
constant+Day303,heat_day69,0.061549784,0.852476294,1.817619798,1221.119803,,0.025366204,0.073163476,6.029869097,4.41E-05
constant+Day304,heat_day70,0.056052912,0.785802053,1.716577257,1221.060649,,0.025365739,0.073164373,5.68100607,4.44E-05
constant+Day305,heat_day71,0.053007414,0.75021177,1.669342876,1221.057624,,0.02536534,0.073164914,5.533341262,4.46E-05
constant+Day306,heat_day72,0.053078338,0.752887257,1.682408045,1221.036648,,0.025364897,0.073165755,5.669897681,4.36E-05
constant+Day307,heat_day73,0.049115044,0.705689821,1.615226807,1220.944964,,0.02366548,0.073166645,5.563813484,4.41E-05
constant+Day308,heat_day74,0.046752926,0.677927713,1.577568009,1220.908374,,0.022510193,0.073168323,5.596902897,4.38E-05
constant+Day309,heat_day75,0.048952912,0.683114285,1.478713576,1220.86374,,0.022509899,0.073171376,5.414301028,4.25E-05
constant+Day310,heat_day76,0.047202778,0.653757727,1.393876506,1221.110101,,0.022509652,0.06734086,5.50341181,4.43E-05
constant+Day311,heat_day77,0.043715383,0.658592939,1.635180055,1220.943381,,0.022509342,0.084928883,5.54549417,4.55E-05
constant+Day312,heat_day78,0.046078325,0.713314559,1.847469638,1220.678796,,0.022509073,0.084929406,5.568171728,4.39E-05
constant+Day313,heat_day79,0.045933064,0.69732484,1.752612546,1220.81002,,0.022508802,0.084929686,5.505105668,4.44E-05
constant+Day314,heat_day80,0.049307002,0.728113854,1.748962525,1221.003734,,0.022508373,0.084930312,5.599441916,4.48E-05
constant+Day315,heat_day81,0.05059016,0.736617612,1.726803096,1221.181553,,0.022508013,0.084930826,5.555352893,4.49E-05
constant+Day316,heat_day82,0.050825494,0.737820956,1.720430678,1221.175589,,0.022509369,0.084930454,5.480344587,4.31E-05
constant+Day317,heat_day83,0.048659626,0.713501956,1.69326492,1221.205016,,0.019017869,0.084930862,5.406021568,4.38E-05
constant+Day318,heat_day84,0.051452509,0.748793097,1.753770898,1221.261961,,0.019017558,0.084931279,5.663831553,4.42E-05
constant+Day319,heat_day85,0.049265939,0.729933463,1.763224848,1221.261394,,0.019017832,0.084931112,5.619866559,4.44E-05
constant+Day320,heat_day86,0.04554887,0.702520188,1.80940722,1221.042904,,0.019017685,0.084931356,5.457729234,4.37E-05
constant+Day321,heat_day87,0.040837754,0.654638516,1.782818551,1221.364344,,0.019017764,0.084931746,5.24699417,4.52E-05
constant+Day322,heat_day88,0.04162553,0.664376498,1.79848289,1221.329814,,0.021747991,0.084932327,5.345752898,4.45E-05
constant+Day323,heat_day89,0.039002271,0.633968819,1.759405667,1220.714077,,0.021747824,0.084933897,5.362451543,4.50E-05
constant+Day324,heat_day90,0.03916846,0.632675739,1.741021175,1220.511761,,0.021747553,0.084940043,5.233859388,4.40E-05
constant+Day325,heat_day91,0.041622947,0.621634353,1.521696557,1220.52095,,0.021747454,0.079620267,5.13358022,4.46E-05
constant+Day326,heat_day92,0.044057782,0.617175117,1.346203284,1220.72392,,0.02174729,0.073868928,5.104364881,4.29E-05
constant+Day327,heat_day93,0.049527388,0.677815027,1.409788859,1220.825619,,0.021747003,0.073869402,5.200496994,4.47E-05
constant+Day213,cool_day1,0.133314149,1.615588809,2.441204079,1222.104483,,0.025837448,4.13E-07,7.689652554,3.39E-05
constant+Day214,cool_day2,0.126622497,1.534496048,2.318675908,1222.141558,,0.025836722,3.01E-05,7.352361131,3.25E-05
constant+Day215,cool_day3,0.122440809,1.483819596,2.242102245,1222.243995,,0.025666779,3.01E-05,7.166043056,3.46E-05
constant+Day216,cool_day4,0.121614841,1.473809974,2.226977402,1222.254006,,0.025757544,3.01E-05,7.101984396,3.35E-05
constant+Day217,cool_day5,0.116137546,1.4074325,2.126679015,1222.247053,,0.025757343,3.01E-05,6.811503919,3.08E-05
constant+Day218,cool_day6,0.114107081,1.382828597,2.089514724,1222.256158,,0.025757109,7.13E-05,6.778566817,3.54E-05
constant+Day219,cool_day7,0.112423334,1.362423839,2.058682519,1222.256697,,0.025756958,7.13E-05,6.695547876,3.51E-05
constant+Day220,cool_day8,0.113010328,1.369537425,2.06943137,1222.247543,,0.025756729,7.13E-05,6.784716398,3.62E-05
constant+Day221,cool_day9,0.117360222,1.42225231,2.149085177,1222.246618,,0.028313468,7.14E-05,7.025812975,5.06E-05
constant+Day222,cool_day10,0.121976246,1.478192329,2.233612261,1222.192186,,0.028313332,7.14E-05,7.230116982,3.13E-05
constant+Day223,cool_day11,0.124274354,1.506042321,2.275694458,1222.195477,,0.028313087,7.14E-05,7.313452073,3.32E-05
constant+Day224,cool_day12,0.12478225,1.512197348,2.284994898,1222.216315,,0.02831288,7.14E-05,7.271351741,3.52E-05
constant+Day225,cool_day13,0.121795749,1.476004956,2.230307098,1222.225095,,0.028312671,7.14E-05,7.0765678,3.51E-05
constant+Day226,cool_day14,0.117806595,1.427667308,2.157295001,1222.252997,,0.028312485,0.000134179,6.909242315,4.24E-05
constant+Day227,cool_day15,0.121750369,1.475463545,2.229531413,1222.283981,,0.028312166,0.000134114,7.157566546,3.24E-05
constant+Day228,cool_day16,0.121461026,1.471955998,2.224225918,1222.238897,,0.028311966,0.000134063,7.119378224,2.98E-05
constant+Day229,cool_day17,0.121828861,1.476415287,2.230972127,1222.254766,,0.028311727,0.000133957,7.156817076,3.11E-05
constant+Day230,cool_day18,0.121409628,1.471334747,2.223295284,1222.267914,,0.028311425,0.000133918,7.203665299,3.25E-05
constant+Day231,cool_day19,0.128725306,1.559990967,2.357257552,1222.25888,,0.028781438,0.000133891,7.570902515,3.29E-05
constant+Day232,cool_day20,0.133739103,1.620748842,2.449051564,1222.218282,,0.029353217,0.000133775,7.726570724,3.18E-05
constant+Day233,cool_day21,0.135922913,1.647213701,2.489040778,1222.213824,,0.029353042,0.000133699,7.818544393,3.25E-05
