Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day169,cool_day35,0.115223455,0.417991471,1.22578144,46.67734982,,0.018864041,,5.370085868,0.000189873
constant+Day170,cool_day36,0.120234785,0.436170869,1.279093457,60.05457722,,0.018855446,,5.42517486,0.00017477
constant+Day171,cool_day37,0.124066565,0.450071262,1.319857073,71.06568397,,0.018808729,,5.605491854,0.000170833
constant+Day172,cool_day38,0.126519022,0.458967942,1.345947045,63.89635072,,0.018732441,,5.832821533,0.000172517
constant+Day173,cool_day39,0.12194874,0.442388514,1.297327021,57.87442545,,0.018521372,,5.54039983,0.000170312
constant+Day174,cool_day40,0.116660919,0.423206099,1.241073603,49.59146749,,0.018192582,,5.086538992,0.000154908
constant+Day175,cool_day41,0.113149291,0.41046711,1.203715864,50.08411793,,0.018005849,,4.624094781,0.00016001
constant+Day176,cool_day42,0.117394954,0.425868928,1.248882486,51.93934812,,0.017944925,,4.60936147,0.000163981
constant+Day177,cool_day43,0.113682467,0.412401291,1.209387949,47.14528651,,0.017888519,,4.642864571,0.000166845
constant+Day178,cool_day44,0.112056503,0.406502846,1.192090457,47.10128364,,0.016147219,,4.428035545,0.000180712
constant+Day179,cool_day45,0.117000598,0.42443834,1.244687213,48.26784246,,0.021489511,,4.613886652,0.000170303
constant+Day180,cool_day46,0.12661343,0.45931042,1.346951378,54.35546348,,0.021688248,,4.937846775,0.000168294
constant+Day181,cool_day47,0.13534168,0.490973542,1.439805109,55.67024178,,0.021688176,,5.32686656,0.000172285
constant+Day213,cool_day48,0.158750922,0.575894303,1.688839597,76.91603177,,0.021029944,,6.787103137,0.000169605
constant+Day214,cool_day49,0.155039182,0.562429373,1.649352999,80.28738618,,0.020748457,,6.508684334,0.000166202
constant+Day215,cool_day50,0.150451411,0.545786502,1.600546927,78.87408411,,0.019931959,,6.245871006,0.000177867
constant+Day216,cool_day51,0.145710131,0.528586752,1.550107778,74.76165025,,0.0199317,,6.018229117,0.000173023
constant+Day217,cool_day52,0.142981655,0.518688768,1.521081432,67.24392915,,0.019930787,,5.754961152,0.000167362
constant+Day218,cool_day53,0.142324064,0.516303255,1.514085791,72.31207784,,0.019927835,,5.652686026,0.000172808
constant+Day219,cool_day54,0.137522939,0.498886407,1.463009992,64.39980862,,0.019918948,,5.479983264,0.000165345
constant+Day220,cool_day55,0.135216879,0.490520804,1.438477432,56.95269242,,0.01989648,,5.231595242,0.000174492
constant+Day221,cool_day56,0.128457333,0.465999476,1.366567378,48.01456573,,0.019827527,,4.926752054,0.00017354
constant+Day222,cool_day57,0.118643015,0.43039647,1.262159737,43.31061402,,0.01961118,,4.457982155,0.000175977
constant+Day223,cool_day58,0.109658868,0.397805041,1.166583697,46.58522771,,0.019398657,,4.033476679,0.000180573
constant+Day224,cool_day59,0.104838178,0.38031722,1.115299764,48.79677801,,0.011477925,,3.746882473,0.000203774
