Scenario,test_day,cost_tot,emis_tot,ener_tot,idis_tot,pdih_tot,pele_tot,pgas_tot,tdis_tot,time_rat
constant+Day318,heat_day53,0.312898601,0.50472362,3.990590102,5744.710803,0.090214336,0.005560882,,4.705110465,6.82E-05
constant+Day319,heat_day54,0.31576378,0.508023525,4.022843267,5563.46511,0.09020831,0.005560882,,4.744669843,7.09E-05
constant+Day320,heat_day55,0.317066461,0.509672331,4.037989161,5563.328851,0.090806423,0.005560883,,4.736113845,7.21E-05
constant+Day321,heat_day56,0.318425369,0.511571854,4.054371296,5563.209941,0.090806201,0.005560883,,4.777211672,7.50E-05
constant+Day322,heat_day57,0.317775961,0.51007344,4.044626216,5195.29048,0.090804805,0.005560874,,4.773307123,7.22E-05
constant+Day323,heat_day58,0.3166648,0.507939784,4.029347663,4876.023862,0.09080228,0.005560874,,4.766182951,7.30E-05
constant+Day324,heat_day59,0.319943753,0.512180221,4.067763913,4528.776466,0.090801403,0.005560874,,4.77580932,7.05E-05
constant+Day325,heat_day60,0.312640113,0.499899853,3.972996623,4082.383728,0.090799496,0.005560874,,4.802207375,7.11E-05
constant+Day326,heat_day61,0.311700732,0.498197426,3.960408948,3930.695167,0.090796155,0.005560874,,4.811359292,7.29E-05
constant+Day327,heat_day62,0.311854797,0.498414066,3.962270415,3930.704902,0.090788215,0.005560874,,4.833998003,6.93E-05
constant+Day328,heat_day63,0.318377412,0.507583313,4.041070785,3930.700303,0.090771852,0.005560874,,5.093634914,7.02E-05
constant+Day329,heat_day64,0.326878275,0.519292345,4.142988172,3777.078889,0.090742548,0.005560874,,5.131238296,6.76E-05
constant+Day330,heat_day65,0.333643859,0.528195019,4.22275094,3468.595023,0.090704787,0.005560874,,5.166996153,6.93E-05
constant+Day331,heat_day66,0.342051567,0.539114688,4.321406864,3252.668476,0.090683664,0.005560874,,5.146912954,6.76E-05
constant+Day332,heat_day67,0.342925277,0.539519246,4.329290047,3483.390922,0.090649239,0.005560874,,5.264157733,6.92E-05
constant+Day333,heat_day68,0.341952393,0.538327747,4.318107998,3574.87279,0.090560127,0.005560874,,5.276000138,6.95E-05
constant+Day334,heat_day69,0.342772501,0.539480837,4.328016495,3574.876118,0.091780807,0.005560874,,5.358647984,7.08E-05
constant+Day335,heat_day70,0.346885612,0.545262766,4.377706987,3574.875897,0.092154091,0.005560874,,5.605122173,7.24E-05
constant+Day336,heat_day71,0.347912541,0.54623262,4.388576405,3379.905423,0.092154406,0.005560873,,5.59996839,7.37E-05
constant+Day337,heat_day72,0.355670835,0.555907913,4.478311369,3076.588228,0.092154646,0.005560873,,5.640845008,7.39E-05
